time,累计流量(立方米),化学需氧量(毫克/升)监测值,化学需氧量排放量（千克）,氨氮(毫克/升)监测值,氨氮排放量(千克),总氮(毫克/升)监测值,总氮排放量(千克),总磷(毫克/升)监测值,总磷排放量(千克),累计流量(立方米).1,pH监测最小值,pH监测平均值,pH监测最大值,化学需氧量(毫克/升)监测值.1,化学需氧量排放量（千克）.1,氨氮(毫克/升)监测值.1,氨氮排放量（千克）,总氮(毫克/升)监测值.1,总氮排放量（千克）,总磷(毫克/升)监测值.1,总磷排放量（千克）,水温(摄氏度)监测最小值,水温(摄氏度)监测平均值,水温(摄氏度)监测最大值,anomaly
2024-04-19 19,1002.296,272,272.625,10.21,10.233,41.615,41.711,2.84,2.847,1014.061,6.955,6.955,6.955,16,16.225,0.95,0.963,8.127,8.241,0.16,0.162,19.997,19.997,19.997,
2024-04-19 18,964.185,272,262.258,10.21,9.844,41.615,40.125,2.84,2.738,1033.835,6.952,6.952,6.952,16,16.541,0.95,0.982,8.127,8.402,0.16,0.165,20.024,20.024,20.024,
2024-04-19 17,962.845,284,273.448,10.37,9.985,38.406,36.979,0.18,0.173,936.572,6.989,6.989,6.989,16,14.985,1,0.937,8.046,7.536,0.15,0.14,20.08,20.08,20.08,
2024-04-19 16,948.501,284,269.374,10.37,9.836,38.406,36.428,0.18,0.171,914.514,7.008,7.008,7.008,16,14.632,1,0.915,8.046,7.358,0.15,0.137,20.1,20.1,20.1,
2024-04-19 15,1052.321,274,288.336,14.01,14.743,34.527,36.333,1.07,1.126,993.69,7.024,7.024,7.024,16,15.899,1.32,1.312,8.506,8.452,0.16,0.159,20.1,20.1,20.1,
2024-04-19 14,1051.963,274,288.238,14.01,14.738,34.527,36.321,1.07,1.126,981.928,7.025,7.025,7.025,16,15.711,1.32,1.296,8.506,8.352,0.16,0.157,20.106,20.106,20.106,
2024-04-19 13,1032.112,304,313.762,17.36,17.917,32.634,33.682,3.58,3.695,964.528,7.024,7.024,7.024,15,14.468,1.03,0.993,8.365,8.068,0.22,0.212,20.081,20.081,20.081,
2024-04-19 12,1014.267,277,280.952,17.38,17.628,33.55,34.029,4.23,4.29,992.846,7.023,7.023,7.023,15,14.893,1.03,1.023,8.184,8.125,0.22,0.218,20.053,20.053,20.053,
2024-04-19 11,868.551,276,239.72,16.96,14.731,36.397,31.613,3.76,3.266,761.382,6.995,6.995,6.995,20,15.228,0.85,0.647,8.468,6.447,0.2,0.152,20.025,20.025,20.025,
2024-04-19 10,905.411,283,256.231,17.35,15.709,42.974,38.909,3.65,3.305,849.259,7.029,7.029,7.029,20,16.985,0.66,0.561,8.258,7.013,0.2,0.17,20.001,20.001,20.001,
2024-04-19 09,1028.154,322,331.066,18.01,18.517,43.554,44.78,4.55,4.678,515.164,7.007,7.007,7.007,13,6.697,0.66,0.34,8.258,4.254,0.14,0.072,20.023,20.023,20.023,
2024-04-19 08,159.329,322,51.304,18.01,2.87,43.554,6.939,4.55,0.725,6.599,7.003,7.003,7.003,13,0.086,0.66,0.004,8.258,0.054,0.14,0.001,19.973,19.973,19.973,
2024-04-19 07,65.086,330,21.478,18.31,1.192,44.49,2.896,4.03,0.262,210.934,6.992,6.992,6.992,15,3.164,0.58,0.122,8.013,1.69,0.15,0.032,20,20,20,
2024-04-19 06,961.032,330,317.141,18.31,17.596,44.49,42.756,4.03,3.873,1018.147,6.982,6.982,6.982,15,15.272,0.58,0.591,8.013,8.158,0.15,0.153,20.029,20.029,20.029,
2024-04-19 05,839.74,287,241.005,17.57,14.754,38.512,32.34,4,3.359,445.301,6.926,6.926,6.926,17,7.57,0.57,0.254,7.864,3.502,0.16,0.071,20.057,20.057,20.057,
2024-04-19 04,198.29,287,56.909,17.57,3.484,38.512,7.637,4,0.793,663.515,7.101,7.101,7.101,17,11.28,0.57,0.378,7.864,5.218,0.16,0.106,20.079,20.079,20.079,
2024-04-19 03,1003.5,328,329.148,17.81,17.872,33.458,33.575,4.27,4.285,1055.659,7.013,7.013,7.013,16,16.891,0.52,0.549,7.95,8.392,0.17,0.179,20.11,20.11,20.11,
2024-04-19 02,1016.41,328,333.382,17.81,18.102,33.458,34.007,4.27,4.34,983.154,7.013,7.013,7.013,16,15.73,0.52,0.511,7.95,7.816,0.17,0.167,20.13,20.13,20.13,
2024-04-19 01,972.973,312,303.568,18.43,17.932,33.686,32.776,3.3,3.211,987.964,6.997,6.997,6.997,16,15.807,0.66,0.652,8.072,7.975,0.15,0.148,20.16,20.16,20.16,
2024-04-19 00,1030.622,312,321.554,18.43,18.994,33.686,34.718,3.3,3.401,995.491,6.988,6.988,6.988,16,15.928,0.66,0.657,8.072,8.036,0.15,0.149,20.207,20.207,20.207,
2024-04-18 23,1045.635,324,338.786,18.84,19.7,34.811,36.4,3.05,3.189,1023.559,7.029,7.029,7.029,13,13.306,0.51,0.522,8.029,8.218,0.16,0.164,20.263,20.263,20.263,
2024-04-18 22,847.015,324,274.433,18.84,15.958,34.811,29.485,3.05,2.583,653.009,7.056,7.056,7.056,13,8.489,0.51,0.333,8.029,5.243,0.16,0.104,20.338,20.338,20.338,
2024-04-18 21,37.164,304,11.298,16.43,0.611,34.309,1.275,3.57,0.133,0.819,7.114,7.114,7.114,15,0.012,0.55,0,7.679,0.006,0.14,0,20.414,20.414,20.414,
2024-04-18 20,57.975,304,17.624,16.43,0.953,34.309,1.989,3.57,0.207,21.601,7.109,7.109,7.109,56,1.21,0.55,0.012,7.679,0.166,0.14,0.003,20.437,20.437,20.437,校准 - 自动监测设备处于校验 
2024-04-18 19,384.634,358,137.699,19.11,7.35,36.087,13.88,3.08,1.185,696.693,7.139,7.139,7.139,14,9.754,0.6,0.418,7.66,5.337,0.15,0.105,20.486,20.486,20.486,
2024-04-18 18,909.801,358,325.709,19.11,17.386,36.087,32.832,3.08,2.802,882.945,7.037,7.037,7.037,14,12.361,0.6,0.53,7.66,6.763,0.15,0.132,20.48,20.48,20.48,
2024-04-18 17,951.217,316,300.585,20.22,19.234,34.294,32.621,3.33,3.168,847.45,7.078,7.078,7.078,12,10.169,0.38,0.322,7.689,6.516,0.14,0.119,20.552,20.552,20.552,
2024-04-18 16,704.769,316,222.707,20.22,14.25,34.294,24.169,3.33,2.347,571.786,7.009,7.009,7.009,12,6.861,0.38,0.217,7.689,4.396,0.14,0.08,20.517,20.517,20.517,
2024-04-18 15,1019.763,450,458.893,20.21,20.609,33.61,34.274,3.49,3.559,953.28,7.037,7.037,7.037,12,11.439,0.54,0.515,7.822,7.457,0.17,0.162,20.621,20.621,20.621,
2024-04-18 14,1011.429,450,455.143,20.21,20.441,33.61,33.994,3.49,3.53,940.739,7.051,7.051,7.051,12,11.289,0.54,0.508,7.822,7.358,0.17,0.16,20.546,20.546,20.546,
2024-04-18 13,997.296,301,300.186,19.02,18.969,33.333,33.243,3.21,3.201,931.091,7.058,7.058,7.058,15,13.966,0.54,0.503,7.612,7.087,0.16,0.149,20.417,20.417,20.417,
2024-04-18 12,978.968,301,294.669,19.02,18.62,33.333,32.632,3.21,3.142,932.981,7.048,7.048,7.048,15,13.995,0.54,0.504,7.612,7.102,0.16,0.149,20.298,20.298,20.298,
2024-04-18 11,949.428,338,320.907,19.04,18.077,35.258,33.475,3.05,2.896,943.008,7.029,7.029,7.029,13,12.259,0.49,0.462,7.268,6.854,0.15,0.141,20.118,20.118,20.118,
2024-04-18 10,761.803,338,257.489,19.04,14.505,35.258,26.86,3.05,2.323,752.198,7.022,7.022,7.022,13,9.779,0.49,0.369,7.268,5.467,0.15,0.113,19.969,19.969,19.969,
2024-04-18 09,1005.119,317,318.623,18.25,18.343,45.5,45.733,3.2,3.216,993.442,6.977,6.977,6.977,13,12.915,0.71,0.705,6.971,6.925,0.16,0.159,19.868,19.868,19.868,
2024-04-18 08,1061.667,317,336.548,18.25,19.375,45.5,48.306,3.2,3.397,976.916,6.969,6.969,6.969,13,12.7,0.71,0.694,6.971,6.81,0.16,0.156,19.845,19.845,19.845,
2024-04-18 07,1081.759,296,320.201,15.78,17.07,44.492,48.13,3.36,3.635,942.192,6.991,6.991,6.991,13,12.248,0.8,0.754,6.697,6.31,0.17,0.16,19.845,19.845,19.845,
2024-04-18 06,935.763,296,276.986,15.78,14.766,44.492,41.634,3.36,3.144,943.106,6.978,6.978,6.978,13,12.26,0.8,0.754,6.697,6.316,0.17,0.16,19.876,19.876,19.876,
2024-04-18 05,776.85,316,245.485,17.96,13.952,47.587,36.968,3.62,2.812,692.22,6.984,6.984,6.984,13,8.999,0.56,0.388,6.544,4.53,0.15,0.104,19.892,19.892,19.892,
2024-04-18 04,818.224,316,258.559,17.96,14.695,47.587,38.937,3.62,2.962,912.951,7.016,7.016,7.016,13,11.868,0.56,0.511,6.544,5.974,0.15,0.137,19.948,19.948,19.948,
2024-04-18 03,913.102,361,329.63,17.52,15.998,35.633,32.537,3.12,2.849,940.914,6.999,6.999,6.999,10,9.409,0.5,0.47,6.515,6.13,0.14,0.132,20.003,20.003,20.003,
2024-04-18 02,939.453,361,339.143,17.52,16.459,35.633,33.476,3.12,2.931,976.185,6.98,6.98,6.98,10,9.762,0.5,0.488,6.515,6.36,0.14,0.137,20.058,20.058,20.058,
2024-04-18 01,949.638,307,291.539,16.86,16.011,35.94,34.13,2.85,2.706,938.717,6.996,6.996,6.996,13,12.203,0.5,0.469,6.529,6.129,0.16,0.15,20.106,20.106,20.106,
2024-04-18 00,897.234,307,275.451,16.86,15.127,35.94,32.247,2.85,2.557,894.572,7.008,7.008,7.008,13,11.629,0.5,0.447,6.529,5.841,0.16,0.143,20.129,20.129,20.129,
2024-04-17 23,898.634,321,288.462,16,14.378,35.324,31.743,2.81,2.525,900.282,6.992,6.992,6.992,13,11.704,0.61,0.549,6.565,5.91,0.15,0.135,20.156,20.156,20.156,
2024-04-17 22,923.46,321,296.431,16,14.775,35.324,32.62,2.81,2.595,927.902,6.993,6.993,6.993,13,12.063,0.61,0.566,6.565,6.092,0.15,0.139,20.209,20.209,20.209,
2024-04-17 21,974.09,345,336.061,16.54,16.111,35.616,34.693,2.29,2.231,968.356,6.987,6.987,6.987,14,13.557,0.63,0.61,6.538,6.331,0.16,0.155,20.257,20.257,20.257,
2024-04-17 20,1037.014,345,357.77,16.54,17.152,35.616,36.934,2.29,2.375,869.14,6.964,6.964,6.964,14,12.168,0.63,0.548,6.538,5.682,0.16,0.139,20.358,20.358,20.358,
2024-04-17 19,395.928,304,120.362,17.73,7.02,34.878,13.809,2.05,0.812,7.925,6.968,6.968,6.968,17,0.135,0.56,0.004,6.579,0.052,0.14,0.001,20.36,20.36,20.36,
2024-04-17 18,65.237,304,19.832,17.73,1.157,34.878,2.275,2.05,0.134,243.833,6.968,6.968,6.968,17,4.145,0.56,0.137,6.579,1.604,0.14,0.034,20.404,20.404,20.404,
2024-04-17 17,962.847,390,375.51,14.61,14.067,33.188,31.955,1.81,1.743,997.119,7,7,7,15,14.957,0.46,0.459,6.787,6.767,0.16,0.16,20.476,20.476,20.476,
2024-04-17 16,952.874,390,371.621,14.61,13.921,33.188,31.624,1.81,1.725,951.117,7.001,7.001,7.001,15,14.267,0.46,0.438,6.787,6.455,0.16,0.152,20.492,20.492,20.492,
2024-04-17 15,839.828,329,276.303,14.23,11.951,35.057,29.442,2.01,1.688,918.265,6.97,6.97,6.97,12,11.019,0.55,0.505,6.969,6.399,0.15,0.138,20.469,20.469,20.469,
2024-04-17 14,1026.495,329,337.717,14.23,14.607,35.057,35.986,2.33,2.392,977.507,6.917,6.917,6.917,12,11.73,0.55,0.538,6.969,6.812,0.15,0.147,20.393,20.393,20.393,
2024-04-17 13,1017.253,460,467.936,14.84,15.096,47.176,47.99,2.33,2.37,982.25,6.846,6.846,6.846,15,14.734,0.54,0.53,7.165,7.038,0.18,0.177,20.292,20.292,20.292,
2024-04-17 12,974.787,460,448.402,14.84,14.466,47.176,45.987,2.33,2.271,1012.19,6.763,6.763,6.763,15,15.183,0.54,0.547,7.165,7.252,0.18,0.182,20.194,20.194,20.194,
2024-04-17 11,649.811,320,207.94,14.03,9.117,35.475,23.052,2.33,1.514,804.296,6.762,6.762,6.762,15,12.064,0.61,0.491,7.287,5.861,0.16,0.129,20.042,20.042,20.042,
2024-04-17 10,980.117,320,313.637,14.03,13.751,35.475,34.77,2.33,2.284,979.116,6.813,6.813,6.813,15,14.687,0.61,0.597,7.287,7.135,0.16,0.157,19.991,19.991,19.991,
2024-04-17 09,1016.705,319,324.329,14.18,14.417,35.242,35.831,2.25,2.288,990.437,6.868,6.868,6.868,13,12.876,0.44,0.436,7.198,7.129,0.15,0.149,19.915,19.915,19.915,
2024-04-17 08,1040.016,319,331.765,14.18,14.747,35.242,36.652,2.25,2.34,1009.786,6.955,6.955,6.955,13,13.127,0.44,0.444,7.198,7.268,0.15,0.151,19.87,19.87,19.87,
2024-04-17 07,1031.567,324,334.228,15.11,15.587,35.306,36.421,2.73,2.816,1004.08,6.956,6.956,6.956,13,13.053,0.56,0.562,7.238,7.268,0.16,0.161,19.841,19.841,19.841,
2024-04-17 06,1024.828,324,332.044,15.11,15.485,35.306,36.183,2.73,2.798,1004.726,6.982,6.982,6.982,13,13.061,0.56,0.563,7.238,7.272,0.16,0.161,19.846,19.846,19.846,
2024-04-17 05,1016.869,311,316.246,16.02,16.29,35.098,35.69,2.69,2.735,990.576,6.967,6.967,6.967,17,16.84,0.62,0.614,7.311,7.242,0.15,0.149,19.841,19.841,19.841,
2024-04-17 04,1012.092,311,314.761,16.02,16.214,35.098,35.522,2.69,2.723,983.628,6.981,6.981,6.981,17,16.722,0.62,0.61,7.311,7.191,0.15,0.148,19.868,19.868,19.868,
2024-04-17 03,1013.459,301,305.051,15.55,15.759,35.453,35.93,2.6,2.635,985.549,6.972,6.972,6.972,18,17.74,0.58,0.572,7.321,7.215,0.16,0.158,19.866,19.866,19.866,
2024-04-17 02,1017.277,301,306.2,15.55,15.819,35.453,36.066,2.6,2.645,973.849,6.971,6.971,6.971,18,17.529,0.58,0.565,7.321,7.13,0.16,0.156,19.89,19.89,19.89,
2024-04-17 01,1037.22,303,314.278,16.6,17.218,33.948,35.212,2.66,2.759,1020.972,6.962,6.962,6.962,20,20.419,0.45,0.459,7.42,7.576,0.15,0.153,19.894,19.894,19.894,
2024-04-17 00,1080.775,303,327.475,16.6,17.941,33.948,36.69,2.66,2.875,936.674,6.961,6.961,6.961,20,18.733,0.45,0.422,7.42,6.95,0.15,0.141,19.948,19.948,19.948,
2024-04-16 23,1061.006,315,334.217,16.24,17.231,34.341,36.436,2.09,2.218,1045.231,6.952,6.952,6.952,15,15.678,0.61,0.638,7.335,7.667,0.17,0.178,19.972,19.972,19.972,
2024-04-16 22,1029.788,315,324.383,16.24,16.724,34.341,35.364,2.09,2.152,1005.397,6.984,6.984,6.984,15,15.081,0.61,0.613,7.335,7.375,0.17,0.171,19.997,19.997,19.997,
2024-04-16 21,1008.833,322,324.844,15.25,15.385,32.809,33.099,2.71,2.734,993.215,6.946,6.946,6.946,13,12.912,0.43,0.427,7.334,7.284,0.15,0.149,20.018,20.018,20.018,
2024-04-16 20,965.553,322,310.908,15.25,14.725,32.809,31.679,2.71,2.617,995.566,7.008,7.008,7.008,13,12.942,0.43,0.428,7.334,7.301,0.15,0.149,20.072,20.072,20.072,
2024-04-16 19,972.748,357,347.271,15.73,15.301,33.024,32.124,2.39,2.325,999.08,6.968,6.968,6.968,14,13.987,0.54,0.54,7.277,7.27,0.16,0.16,20.122,20.122,20.122,
2024-04-16 18,986.159,357,352.059,15.73,15.512,33.024,32.567,2.39,2.357,988.347,6.989,6.989,6.989,14,13.837,0.54,0.534,7.277,7.192,0.16,0.158,20.171,20.171,20.171,
2024-04-16 17,981.857,315,309.285,15.86,15.572,33.128,32.527,2.4,2.356,951.676,7,7,7,14,13.323,0.55,0.523,7.244,6.894,0.14,0.133,20.193,20.193,20.193,
2024-04-16 16,961.826,315,302.975,15.86,15.255,33.128,31.863,2.4,2.308,956.084,6.99,6.99,6.99,14,13.385,0.55,0.526,7.244,6.926,0.14,0.134,20.215,20.215,20.215,
2024-04-16 15,965.663,464,448.068,15.64,15.103,32.587,31.468,2.94,2.839,932.375,6.985,6.985,6.985,15,13.986,0.59,0.55,7.136,6.653,0.17,0.159,20.215,20.215,20.215,
2024-04-16 14,960.729,464,445.778,15.64,15.026,32.587,31.307,2.94,2.825,896.516,6.996,6.996,6.996,15,13.448,0.59,0.529,7.136,6.398,0.17,0.152,20.216,20.216,20.216,
2024-04-16 13,965.463,320,308.948,15.66,15.119,32.797,31.664,2.64,2.549,953.49,6.947,6.947,6.947,17,16.209,0.52,0.496,6.856,6.537,0.15,0.143,20.163,20.163,20.163,
2024-04-16 12,982.675,320,314.456,15.66,15.389,32.797,32.229,2.64,2.594,1062.98,6.918,6.918,6.918,17,18.071,0.52,0.553,6.856,7.288,0.15,0.159,20.116,20.116,20.116,
2024-04-16 11,730.083,457,333.648,14.45,10.55,34.202,24.97,2.32,1.694,695.328,6.89,6.89,6.89,15,10.43,0.67,0.466,6.45,4.485,0.16,0.111,20.039,20.039,20.039,
2024-04-16 10,675.071,457,308.507,14.45,9.755,34.202,23.089,2.32,1.566,888.424,6.726,6.726,6.726,15,13.326,0.67,0.595,6.45,5.73,0.16,0.142,19.994,19.994,19.994,
2024-04-16 09,979.583,338,331.099,15.52,15.203,33.111,32.435,2.64,2.586,980.825,6.808,6.808,6.808,17,16.674,0.58,0.569,6.415,6.292,0.15,0.147,19.885,19.885,19.885,
2024-04-16 08,990.547,338,334.805,15.52,15.373,33.111,32.798,2.64,2.615,942.261,6.873,6.873,6.873,17,16.018,0.58,0.547,6.415,6.045,0.15,0.141,19.838,19.838,19.838,
2024-04-16 07,973.182,455,442.798,14.3,13.917,32.954,32.07,2.87,2.793,927.308,6.94,6.94,6.94,14,12.982,0.49,0.454,6.388,5.924,0.14,0.13,19.82,19.82,19.82,
2024-04-16 06,959.481,455,436.564,14.3,13.721,32.954,31.619,2.87,2.754,898.326,6.956,6.956,6.956,14,12.577,0.49,0.44,6.388,5.739,0.14,0.126,19.817,19.817,19.817,
2024-04-16 05,968.528,294,284.747,14.92,14.45,33.224,32.178,2.86,2.77,883.302,6.95,6.95,6.95,16,14.133,0.48,0.424,6.542,5.779,0.15,0.132,19.813,19.813,19.813,
2024-04-16 04,976.99,294,287.235,14.92,14.577,33.224,32.46,2.86,2.794,900.569,6.951,6.951,6.951,16,14.409,0.48,0.432,6.542,5.892,0.15,0.135,19.843,19.843,19.843,
2024-04-16 03,989.509,467,462.101,15.37,15.209,34.318,33.958,2.89,2.86,929.665,6.936,6.936,6.936,17,15.804,0.65,0.604,6.291,5.849,0.14,0.13,19.841,19.841,19.841,
2024-04-16 02,1007.651,467,470.573,15.37,15.488,34.318,34.581,2.89,2.912,1002.786,6.951,6.951,6.951,17,17.047,0.65,0.652,6.291,6.309,0.14,0.14,19.866,19.866,19.866,
2024-04-16 01,1018.142,313,318.678,14.25,14.509,35.049,35.685,2.54,2.586,1024.376,6.967,6.967,6.967,14,14.341,0.58,0.594,6.165,6.315,0.17,0.174,19.867,19.867,19.867,
2024-04-16 00,1028.635,313,321.963,14.25,14.658,35.049,36.053,2.54,2.613,978.02,6.951,6.951,6.951,14,13.692,0.58,0.567,6.165,6.029,0.17,0.166,19.892,19.892,19.892,
2024-04-15 23,1022.612,333,340.53,13.53,13.836,34.103,34.874,1.69,1.728,986.615,6.956,6.956,6.956,16,15.786,0.55,0.543,6.31,6.226,0.15,0.148,19.893,19.893,19.893,
2024-04-15 22,1002.844,333,333.947,13.53,13.568,34.103,34.2,1.69,1.695,900.046,6.943,6.943,6.943,16,14.401,0.55,0.495,6.31,5.679,0.15,0.135,19.916,19.916,19.916,
2024-04-15 21,838.176,317,265.702,13.98,11.718,34.213,28.677,2.64,2.213,748.169,7.038,7.038,7.038,15,11.223,0.49,0.367,6.357,4.756,0.16,0.12,19.967,19.967,19.967,
2024-04-15 20,1015.938,317,322.052,13.98,14.203,34.213,34.758,2.64,2.682,1059.935,6.931,6.931,6.931,15,15.899,0.49,0.519,6.357,6.738,0.16,0.17,19.967,19.967,19.967,
2024-04-15 19,1040.178,319,331.817,14.18,14.75,35.663,37.096,2.87,2.985,1064.026,6.922,6.922,6.922,15,15.96,0.75,0.798,6.36,6.767,0.15,0.16,19.988,19.988,19.988,
2024-04-15 18,958.046,319,305.617,14.18,13.585,35.663,34.167,2.87,2.75,1020.741,6.974,6.974,6.974,15,15.311,0.75,0.766,6.36,6.492,0.15,0.153,20.035,20.035,20.035,
2024-04-15 17,1010.538,315,318.319,15.38,15.542,35.484,35.858,2.37,2.395,988.729,6.984,6.984,6.984,15,14.831,0.62,0.613,6.288,6.217,0.17,0.168,20.056,20.056,20.056,
2024-04-15 16,902.946,315,284.428,15.38,13.887,35.484,32.04,2.37,2.14,543.332,6.958,6.958,6.958,15,8.15,0.62,0.337,6.288,3.416,0.17,0.092,20.056,20.056,20.056,
2024-04-15 15,879.663,497,437.193,14.21,12.5,35.562,31.283,2.64,2.322,884.359,6.974,6.974,6.974,13,11.497,0.61,0.539,6.456,5.709,0.15,0.133,19.98,19.98,19.98,
2024-04-15 14,995.121,497,494.575,14.21,14.141,35.562,35.388,2.64,2.627,996.29,6.876,6.876,6.876,13,12.952,0.61,0.608,6.456,6.432,0.15,0.149,19.952,19.952,19.952,
2024-04-15 13,992.035,293,290.666,13.84,13.73,35.429,35.147,2.92,2.897,990.265,6.803,6.803,6.803,17,16.835,0.66,0.654,6.684,6.619,0.14,0.139,19.931,19.931,19.931,
2024-04-15 12,1042.504,293,305.454,13.84,14.428,35.429,36.935,2.92,3.044,1001.184,6.796,6.796,6.796,17,17.02,0.66,0.661,6.684,6.692,0.14,0.14,19.803,19.803,19.803,
2024-04-15 11,1057.312,396,418.696,13.34,14.105,33.891,35.833,2.87,3.034,1048.839,6.865,6.865,6.865,16,16.781,0.82,0.86,6.762,7.092,0.16,0.168,19.679,19.679,19.679,
2024-04-15 10,1049.648,396,415.661,13.34,14.002,33.891,35.574,2.87,3.012,1035.989,6.883,6.883,6.883,16,16.576,0.82,0.85,6.762,7.005,0.16,0.166,19.548,19.548,19.548,
2024-04-15 09,1025.067,319,326.996,13.96,14.31,36.817,37.74,2.59,2.655,997.617,6.981,6.981,6.981,13,12.969,0.64,0.638,6.83,6.814,0.14,0.14,19.447,19.447,19.447,
2024-04-15 08,985.928,319,314.511,13.96,13.764,36.817,36.299,2.59,2.554,961.951,7.022,7.022,7.022,13,12.505,0.64,0.616,6.83,6.57,0.14,0.135,19.424,19.424,19.424,
2024-04-15 07,972.148,462,449.132,14.34,13.941,35.866,34.867,3.26,3.169,944.574,7.022,7.022,7.022,16,15.113,0.66,0.623,7.019,6.63,0.15,0.142,19.423,19.423,19.423,
2024-04-15 06,959.072,462,443.091,14.34,13.753,35.866,34.398,3.26,3.127,942.81,7.052,7.052,7.052,16,15.085,0.66,0.622,7.019,6.618,0.15,0.141,19.427,19.427,19.427,
2024-04-15 05,962.246,324,311.768,14.91,14.347,34.88,33.563,3,2.887,948.122,7.02,7.02,7.02,18,17.066,0.68,0.645,7.164,6.792,0.16,0.152,19.449,19.449,19.449,
2024-04-15 04,995.011,324,322.384,14.91,14.836,34.88,34.706,3,2.985,940.48,7.011,7.011,7.011,18,16.929,0.68,0.64,7.164,6.738,0.16,0.15,19.48,19.48,19.48,
2024-04-15 03,986.665,493,486.426,15.14,14.938,32.89,32.451,3.11,3.069,936.723,6.976,6.976,6.976,13,12.177,0.63,0.59,7.002,6.559,0.15,0.141,19.519,19.519,19.519,
2024-04-15 02,993.574,493,489.832,15.14,15.043,32.89,32.679,3.11,3.09,951.5,7.007,7.007,7.007,13,12.37,0.63,0.599,7.002,6.662,0.15,0.143,19.558,19.558,19.558,
2024-04-15 01,997.155,307,306.127,14.95,14.907,33.745,33.649,2.91,2.902,972.837,7.001,7.001,7.001,16,15.565,0.61,0.593,6.957,6.768,0.14,0.136,19.605,19.605,19.605,
2024-04-15 00,995.63,307,305.658,14.95,14.885,33.745,33.598,2.91,2.897,973.823,7.001,7.001,7.001,16,15.581,0.61,0.594,6.957,6.775,0.14,0.136,19.661,19.661,19.661,
2024-04-14 23,974.772,467,455.219,14.95,14.573,33.532,32.686,3.03,2.954,993.133,6.988,6.988,6.988,15,14.897,0.61,0.606,6.723,6.677,0.18,0.179,19.717,19.717,19.717,
2024-04-14 22,919.171,467,429.253,14.95,13.742,33.532,30.822,3.03,2.785,966.946,6.998,6.998,6.998,15,14.504,0.61,0.59,6.723,6.501,0.18,0.174,19.761,19.761,19.761,
2024-04-14 21,886.61,357,316.52,15.41,13.663,34.463,30.555,3.39,3.006,947.902,7.004,7.004,7.004,13,12.323,0.48,0.455,6.558,6.216,0.16,0.152,19.845,19.845,19.845,
2024-04-14 20,952.923,357,340.194,15.41,14.685,34.463,32.841,3.39,3.23,881.449,7.035,7.035,7.035,13,11.459,0.48,0.423,6.558,5.781,0.16,0.141,19.897,19.897,19.897,
2024-04-14 19,958.425,473,453.335,15.24,14.606,34.852,33.403,2.69,2.578,954.303,7.07,7.07,7.07,14,13.36,0.54,0.515,6.591,6.29,0.15,0.143,19.946,19.946,19.946,
2024-04-14 18,981.629,473,464.31,15.24,14.96,34.852,34.212,2.69,2.641,956.336,7.059,7.059,7.059,14,13.389,0.54,0.516,6.591,6.303,0.15,0.143,19.994,19.994,19.994,
2024-04-14 17,1006.105,302,303.844,16.57,16.671,37.161,37.388,2.52,2.535,720.247,7.076,7.076,7.076,13,9.363,0.48,0.346,6.525,4.7,0.16,0.115,19.967,19.967,19.967,
2024-04-14 16,435.656,302,131.568,16.57,7.219,37.161,16.189,2.52,1.098,7.907,7.083,7.083,7.083,13,0.103,0.48,0.004,6.525,0.052,0.16,0.001,19.865,19.865,19.865,
2024-04-14 15,61.288,460,28.192,15.25,0.935,36.457,2.234,2.94,0.18,100.335,7.064,7.064,7.064,16,1.605,0.55,0.055,6.649,0.667,0.15,0.015,19.837,19.837,19.837,
2024-04-14 14,743.229,460,341.885,15.25,11.334,36.457,27.096,2.94,2.185,919.845,7.088,7.088,7.088,16,14.718,0.55,0.506,6.649,6.116,0.15,0.138,19.818,19.818,19.818,
2024-04-14 13,986.866,304,300.007,16.07,15.859,37.148,36.66,2.91,2.872,961.508,6.956,6.956,6.956,14,13.461,0.6,0.577,6.711,6.453,0.17,0.163,19.765,19.765,19.765,
2024-04-14 12,1012.009,304,307.651,16.07,16.263,37.148,37.594,2.91,2.945,1087.2,6.909,6.909,6.909,14,15.221,0.6,0.652,6.711,7.296,0.17,0.185,19.735,19.735,19.735,
2024-04-14 11,775.382,457,354.35,15.07,11.685,34.124,26.459,2.96,2.295,945.355,6.847,6.847,6.847,13,12.29,0.77,0.728,6.567,6.208,0.15,0.142,19.736,19.736,19.736,
2024-04-14 10,1071.033,457,489.462,15.07,16.14,34.124,36.548,2.96,3.17,1068.552,6.787,6.787,6.787,13,13.891,0.77,0.823,6.567,7.017,0.15,0.16,19.764,19.764,19.764,
2024-04-14 09,1002.933,317,317.93,15.68,15.726,34.183,34.283,3.08,3.089,1014.627,6.857,6.857,6.857,14,14.205,0.53,0.538,6.453,6.547,0.16,0.162,19.739,19.739,19.739,
2024-04-14 08,973.176,317,308.497,15.68,15.259,34.183,33.266,3.08,2.997,957.357,6.926,6.926,6.926,14,13.403,0.53,0.507,6.453,6.178,0.16,0.153,19.762,19.762,19.762,
2024-04-14 07,987.377,458,452.219,15.74,15.541,35.726,35.275,3.28,3.239,956.2,6.996,6.996,6.996,16,15.299,0.51,0.488,6.412,6.131,0.15,0.143,19.761,19.761,19.761,
